shipment_id,customer_id,origin,destination,weight,volume,carrier,mode,status,arrival_date,departure_date,delivered_date
4000038,25327,WV,BIM,17912,1793910,USPS,air,received,2025-01-11,,
4000039,30359,KY,BIM,30443,1031869,AMAZON,air,delivered,2025-03-19,2025-03-20,2025-03-25
4000040,11358,NM,SLU,65595,1016262,FEDEX,air,received,2025-04-03,,
4000041,18624,ME,ANU,55288,1117043,DHL,air,intransit,2025-03-14,2025-03-18,
4000042,33782,GA,GUY,84243,1096819,DHL,sea,delivered,2025-01-03,2025-02-07,2025-03-25
4000043,10430,AL,SVG,99495,690501,FEDEX,sea,received,2025-01-26,,
4000044,26703,NY,SKN,5714,601017,FEDEX,air,intransit,2025-02-05,2025-03-11,
4000045,32650,MS,FSXM,96281,1873861,AMAZON,sea,received,2025-03-02,,
4000046,21792,KS,GRD,45985,1023517,USPS,sea,intransit,2025-03-08,2025-03-28,
4000047,12281,MO,BIM,41735,1580958,USPS,sea,received,2025-01-13,,
4000048,15002,NM,BIM,99725,979245,AMAZON,sea,received,2025-03-04,,
4000049,14920,MI,GUY,33819,1885571,USPS,sea,received,2025-01-15,,
4000050,20455,AZ,SKN,13849,1868548,USPS,sea,received,2025-01-14,,
4000051,15705,NY,SXM,31971,1462368,FEDEX,air,delivered,2025-02-12,2025-03-11,2025-03-15
4000052,24246,VA,SKN,5491,1354982,AMAZON,sea,intransit,2025-03-31,,
4000053,26734,SD,SKN,71838,514258,DHL,air,received,2025-02-14,,
4000054,28921,MD,SXM,96796,58580,DHL,air,intransit,2025-03-17,2025-03-20,
4000055,28624,NH,SKN,53356,996491,AMAZON,sea,intransit,2025-03-14,2025-03-17,
4000056,30509,AZ,FSXM,18888,1914351,AMAZON,sea,delivered,2025-03-31,,
4000057,29180,ND,FSXM,25810,504626,AMAZON,sea,intransit,2025-02-09,2025-03-05,
4000058,11703,SC,ANU,81354,1560288,USPS,sea,received,2025-02-17,,
4000059,27987,HI,BIM,78926,676023,AMAZON,air,received,2025-03-19,,
4000060,18817,KS,DOM,18032,470880,FEDEX,sea,delivered,2025-04-02,,
4000061,29621,MN,DOM,65386,1512952,FEDEX,air,received,2025-01-24,,
4000062,31676,OH,BIM,47212,1068722,USPS,sea,delivered,2025-02-11,2025-03-05,2025-03-30
4000063,10646,NH,ANU,99296,520546,AMAZON,air,intransit,2025-02-17,2025-02-18,
4000064,33122,IA,DOM,76259,852736,FEDEX,sea,delivered,2025-02-23,2025-02-25,2025-02-27
4000065,14082,OK,BIM,38279,950757,USPS,sea,intransit,2025-02-21,2025-02-28,
4000066,24443,VA,DOM,92229,280609,AMAZON,air,received,2025-01-14,,
4000067,23154,KS,SXM,80707,1921574,DHL,air,delivered,2025-02-07,2025-02-13,2025-03-25
4000068,29218,CO,SVG,36321,765377,AMAZON,air,delivered,2025-03-08,2025-03-18,2025-03-23
4000069,13948,WA,GRD,85273,1317412,AMAZON,sea,intransit,2025-03-15,2025-03-21,
4000070,31710,NE,SXM,27770,1378100,DHL,air,intransit,2025-03-03,2025-03-21,
4000071,32784,ID,SLU,82832,1455753,UPS,sea,delivered,2025-03-04,2025-03-11,2025-03-14
4000072,15090,WY,FSXM,25000,135253,UPS,air,received,2025-02-16,,
4000073,29368,NH,BIM,60733,1138141,UPS,air,received,2025-02-08,,
4000074,12526,GA,SXM,87321,1557903,DHL,sea,received,2025-04-02,,
4000075,34092,OK,ANU,48100,262210,AMAZON,sea,delivered,2025-03-25,2025-03-27,2025-04-01
4000076,16234,MS,SVG,81448,154095,UPS,air,delivered,2025-01-03,2025-03-27,2025-03-31
4000077,31169,IA,SLU,65765,580410,AMAZON,air,delivered,2025-04-03,,
4000078,14777,AK,BIM,92518,376393,AMAZON,sea,intransit,2025-04-03,,
4000079,12013,NE,BIM,79270,221880,UPS,air,received,2025-03-09,,
4000080,14171,MT,SVG,7098,1009286,AMAZON,air,delivered,2025-02-20,2025-03-03,2025-03-20
4000081,33032,KS,DOM,35880,1423672,USPS,sea,received,2025-03-16,,
4000082,31070,ID,FSXM,36399,562200,DHL,sea,intransit,2025-02-20,2025-02-24,
4000083,26634,WV,SXM,24499,1211630,FEDEX,air,received,2025-01-25,,
4000084,16389,CT,SKN,28024,1606022,DHL,air,delivered,2025-03-01,2025-03-06,2025-03-23
4000085,34298,AZ,SVG,76383,1237985,USPS,sea,delivered,2025-03-23,2025-03-28,2025-03-30
4000086,25805,OR,SLU,73311,223774,AMAZON,sea,received,2025-02-19,,
4000087,10065,WV,GUY,13676,1268978,UPS,air,received,2025-01-17,,
4000088,14591,NE,BIM,67914,1815724,DHL,air,delivered,2025-01-16,2025-03-15,2025-03-24
4000089,17807,NV,DOM,61249,641144,USPS,air,received,2025-02-24,,
4000090,32856,MN,SXM,20722,49323,FEDEX,air,delivered,2025-01-14,2025-03-10,2025-03-27
4000091,13332,CT,DOM,46574,482528,DHL,air,delivered,2025-01-06,2025-02-07,2025-02-19
4000092,25805,PA,ANU,66322,1677484,DHL,sea,received,2025-01-26,,
4000093,27398,AZ,BIM,6389,1481239,DHL,air,received,2025-04-02,,
4000094,32455,WV,FSXM,51084,15479,AMAZON,sea,delivered,2025-02-28,2025-03-18,2025-03-22
4000095,19570,CO,DOM,99393,674268,DHL,sea,intransit,2025-03-05,2025-03-28,
4000096,26761,MA,SLU,5788,707096,AMAZON,air,intransit,2025-02-02,2025-02-15,
4000097,16906,AZ,GUY,9834,1449536,UPS,sea,received,2025-02-07,,
4000098,13594,RI,GUY,72332,475893,USPS,air,received,2025-02-22,,
4000099,27293,CA,SVG,20954,1312788,DHL,sea,delivered,2025-03-17,2025-03-18,2025-03-22
4000100,12020,WA,SXM,71912,1941432,UPS,air,delivered,2025-02-27,2025-02-28,2025-04-01
4000101,19953,TX,ANU,14085,409159,DHL,air,received,2025-03-13,,
4000102,29709,NV,DOM,77334,183678,AMAZON,air,intransit,2025-02-23,2025-03-28,
4000103,13843,IA,SXM,5797,1254318,AMAZON,air,received,2025-01-06,,
4000104,26379,AZ,SLU,15532,640738,DHL,sea,delivered,2025-03-05,2025-03-08,2025-03-15
4000105,28650,VT,BIM,5625,1427978,USPS,sea,received,2025-02-19,,
4000106,21803,VA,SLU,16178,64126,UPS,air,received,2025-03-07,,
4000107,22527,KS,BIM,63605,1425309,AMAZON,sea,intransit,2025-03-14,2025-03-23,
4000108,12610,PA,BIM,79485,1189488,DHL,sea,intransit,2025-03-26,2025-03-27,
4000109,24758,WI,DOM,97887,870032,UPS,air,intransit,2025-03-17,2025-03-19,
4000110,12147,MS,GRD,86540,1147287,AMAZON,air,received,2025-02-14,,
4000111,24915,MN,GUY,10751,554207,AMAZON,sea,received,2025-02-24,,
4000112,13493,MD,SXM,8674,255942,FEDEX,air,received,2025-02-02,,
4000113,16935,IL,ANU,21009,203016,AMAZON,sea,received,2025-03-14,,
4000114,32620,NC,FSXM,9870,1073232,UPS,air,received,2025-02-01,,
4000115,29888,CA,GRD,94366,622846,USPS,sea,received,2025-01-31,,
4000116,29142,AK,SKN,50058,1265786,AMAZON,sea,intransit,2025-01-02,2025-01-25,
4000117,26076,CA,ANU,21270,150653,UPS,sea,received,2025-03-20,,
4000118,22583,MA,SKN,34213,1348731,AMAZON,sea,delivered,2025-01-18,2025-01-26,2025-02-05
4000119,20837,FL,SVG,62953,1479638,AMAZON,air,delivered,2025-01-01,2025-03-02,2025-03-11
4000120,17176,CA,GUY,90519,453282,DHL,sea,received,2025-01-25,,
4000121,33319,NH,FSXM,76011,276197,DHL,air,delivered,2025-03-24,2025-03-28,2025-04-02
4000122,22316,NC,GRD,36316,104824,AMAZON,air,delivered,2025-02-28,2025-03-07,2025-03-14
4000123,25211,MS,DOM,26051,1478967,AMAZON,air,delivered,2025-02-02,2025-02-17,2025-03-30
4000124,22745,TN,GRD,34897,1161056,UPS,air,received,2025-03-13,,
4000125,25760,TX,ANU,96823,961157,AMAZON,air,intransit,2025-03-15,2025-03-28,
4000126,25166,MS,GUY,88827,1456724,DHL,sea,delivered,2025-01-11,2025-01-27,2025-03-03
4000127,20766,ND,DOM,34462,727032,UPS,sea,intransit,2025-03-22,2025-03-23,
4000128,34893,NV,FSXM,22803,1239531,AMAZON,sea,delivered,2025-03-31,,
4000129,30606,VT,SXM,5458,1266462,UPS,sea,received,2025-02-03,,
4000130,14235,AR,SLU,7214,1493169,UPS,sea,delivered,2025-03-12,2025-03-18,2025-03-20
4000131,21796,ME,SLU,12353,1851224,AMAZON,air,received,2025-03-02,,
4000132,28425,VT,GRD,17281,1767897,AMAZON,air,received,2025-01-23,,
4000133,22267,TN,SKN,69661,1759093,UPS,air,received,2025-01-13,,
4000134,28122,MS,SKN,9321,842886,DHL,air,received,2025-01-15,,
4000135,33175,OH,SXM,96458,799275,FEDEX,air,received,2025-01-02,,
4000136,31318,VT,SVG,44109,195802,DHL,air,received,2025-03-03,,
4000137,22555,SC,DOM,36342,1400734,FEDEX,sea,delivered,2025-03-31,,
4000138,28785,MA,BIM,51415,227211,FEDEX,sea,received,2025-01-20,,
4000139,15756,ME,SKN,78053,1084809,FEDEX,sea,delivered,2025-02-12,2025-02-20,2025-03-26
4000140,28441,OH,BIM,18420,1316513,FEDEX,sea,intransit,2025-03-21,2025-03-25,
4000141,19912,TX,SKN,61861,658217,AMAZON,air,intransit,2025-03-29,,
4000142,23812,ME,SVG,41842,1517750,UPS,air,delivered,2025-02-14,2025-03-22,2025-03-26
4000143,13486,NY,FSXM,67097,848552,USPS,air,received,2025-03-06,,
4000144,25279,SD,SKN,45595,819371,FEDEX,air,delivered,2025-01-03,2025-03-28,2025-04-01
4000145,17372,OR,SVG,71711,677228,DHL,air,received,2025-02-22,,
4000146,12351,VA,SVG,33349,1834345,UPS,sea,received,2025-04-03,,
4000147,32445,FL,SXM,60561,1108020,USPS,sea,intransit,2025-02-16,2025-02-25,
4000148,14826,NE,SXM,94924,93010,DHL,air,delivered,2025-03-22,2025-03-23,2025-03-31
4000149,29471,ID,DOM,96404,778881,FEDEX,sea,intransit,2025-01-11,2025-02-17,
4000150,20057,TN,DOM,88230,327203,FEDEX,air,delivered,2025-03-06,2025-03-14,2025-03-25
4000151,34150,IN,GUY,70424,864201,USPS,sea,received,2025-01-08,,
4000152,28553,GA,SLU,42057,1601406,FEDEX,sea,delivered,2025-01-02,2025-02-01,2025-02-07
4000153,12806,WA,FSXM,37956,860272,DHL,sea,received,2025-03-28,,
4000154,33517,IL,FSXM,80366,346671,UPS,air,delivered,2025-01-01,2025-03-04,2025-03-26
4000155,15736,FL,SVG,45779,1934069,AMAZON,air,intransit,2025-03-30,,
4000156,19004,DE,FSXM,26865,1762577,UPS,air,received,2025-03-24,,
4000157,23686,HI,SKN,7048,1089376,UPS,air,intransit,2025-01-24,2025-03-10,
4000158,23146,VT,FSXM,23282,133911,AMAZON,sea,delivered,2025-03-24,2025-03-26,2025-03-29
4000159,20935,VA,SVG,25989,39841,AMAZON,air,intransit,2025-03-06,2025-03-28,
4000160,25115,IL,DOM,62191,23589,AMAZON,air,intransit,2025-03-28,,
4000161,11863,WI,SXM,51285,1498955,DHL,sea,intransit,2025-01-31,2025-02-12,
4000162,34454,NM,SKN,93446,1931123,UPS,air,delivered,2025-03-03,2025-03-05,2025-03-16
4000163,28941,AL,SLU,26693,1421619,DHL,air,intransit,2025-01-20,2025-03-14,
4000164,17563,LA,GRD,71098,232663,FEDEX,sea,delivered,2025-03-09,2025-03-10,2025-03-15
4000165,26456,UT,GRD,27618,297549,USPS,sea,delivered,2025-01-27,2025-02-07,2025-02-25
4000166,29208,TX,SXM,30474,1752076,AMAZON,sea,intransit,2025-01-10,2025-02-07,
4000167,27535,NY,ANU,73221,1703666,AMAZON,sea,received,2025-03-09,,
4000168,23754,LA,GRD,80253,1871575,AMAZON,sea,delivered,2025-01-27,2025-03-28,2025-04-04
4000169,27612,OK,GUY,68829,802174,DHL,air,delivered,2025-03-09,2025-03-25,2025-03-27
4000170,34999,NH,FSXM,92792,1442877,DHL,sea,received,2025-02-07,,
4000171,22071,MO,SKN,25625,1733973,DHL,air,delivered,2025-04-03,,
4000172,27469,NJ,SXM,22836,1083663,DHL,sea,intransit,2025-01-11,2025-01-20,
4000173,29942,WY,GRD,38320,1401843,USPS,sea,received,2025-03-30,,
4000174,30385,NM,SLU,71895,1102281,UPS,sea,received,2025-04-03,,
4000175,34330,WY,SKN,61825,1024477,UPS,air,received,2025-03-25,,
4000176,10873,MA,BIM,37471,1960776,DHL,sea,intransit,2025-01-27,2025-03-27,
4000177,17642,MN,GRD,83202,923346,UPS,sea,delivered,2025-03-25,2025-03-28,2025-04-01
4000178,24442,NC,SKN,24344,1830470,DHL,sea,delivered,2025-03-25,2025-03-27,2025-03-29
4000179,21120,MT,FSXM,88970,1624887,UPS,sea,intransit,2025-01-16,2025-03-01,
4000180,13690,AR,FSXM,42848,279387,DHL,sea,delivered,2025-01-13,2025-01-31,2025-03-19
4000181,25103,NC,DOM,77347,167728,UPS,sea,intransit,2025-03-27,,
4000182,25999,KS,SKN,38701,1984816,UPS,sea,received,2025-03-14,,
4000183,23545,AR,FSXM,39268,723065,UPS,air,received,2025-01-09,,
4000184,28603,MI,DOM,9771,176012,AMAZON,sea,delivered,2025-03-04,2025-03-14,2025-03-31
4000185,28238,VA,GRD,59990,962513,AMAZON,air,delivered,2025-03-01,2025-03-17,2025-03-24
4000186,28541,CT,DOM,89334,893060,AMAZON,sea,delivered,2025-01-31,2025-03-20,2025-03-29
4000187,34820,WA,BIM,70268,293860,FEDEX,air,received,2025-01-08,,
4000188,28504,WY,BIM,31714,1457903,DHL,sea,delivered,2025-02-08,2025-03-24,2025-03-29
4000189,14874,OR,SXM,35609,1073687,DHL,air,received,2025-03-24,,
4000190,32054,WA,GUY,41756,540403,USPS,air,received,2025-01-10,,
4000191,33406,IL,SVG,45495,834173,USPS,air,received,2025-03-17,,
4000192,10288,MS,GUY,59052,1048179,AMAZON,air,received,2025-01-23,,
4000193,29947,TX,BIM,58293,216251,FEDEX,sea,intransit,2025-01-21,2025-02-04,
4000194,27174,AK,SKN,81455,717390,UPS,sea,received,2025-03-05,,
4000195,32044,IA,DOM,55120,631312,AMAZON,sea,received,2025-03-12,,
4000196,24726,OH,ANU,42720,1828822,AMAZON,air,received,2025-02-19,,
4000197,22272,DE,BIM,77010,1754162,USPS,sea,intransit,2025-01-07,2025-02-03,
4000198,22644,IL,SKN,74998,348388,AMAZON,sea,delivered,2025-02-04,2025-03-18,2025-03-31
4000199,28260,RI,ANU,88071,127232,USPS,sea,received,2025-03-13,,
4000200,12267,MD,SXM,22896,400774,UPS,sea,intransit,2025-01-09,2025-01-26,
4000201,11808,AR,ANU,61675,581041,UPS,sea,intransit,2025-01-06,2025-01-20,
4000202,30786,IA,BIM,99437,323603,DHL,sea,received,2025-03-19,,
4000203,27476,OR,SLU,84723,1548925,DHL,sea,delivered,2025-03-18,2025-03-23,2025-04-02
4000204,15514,ME,SLU,22850,225795,UPS,sea,received,2025-01-21,,
4000205,14610,MO,GRD,42144,379372,USPS,sea,delivered,2025-03-13,2025-03-25,2025-03-30
4000206,22218,IL,FSXM,5399,713598,AMAZON,sea,received,2025-01-09,,
4000207,12121,VT,SKN,42894,952923,FEDEX,sea,delivered,2025-02-25,2025-02-27,2025-03-18
4000208,18192,CO,GRD,99049,58804,FEDEX,sea,intransit,2025-03-19,2025-03-20,
4000209,11885,NV,GRD,79419,1659771,AMAZON,air,received,2025-03-02,,
4000210,28313,NE,SLU,12712,257633,USPS,air,delivered,2025-02-18,2025-03-12,2025-03-30
4000211,25401,ME,SVG,8270,993599,FEDEX,sea,delivered,2025-02-12,2025-03-09,2025-03-19
4000212,29589,RI,GUY,59061,267856,DHL,air,delivered,2025-03-29,,
4000213,13703,MT,BIM,73242,1397981,DHL,air,received,2025-01-01,,
4000214,19865,TN,GRD,53353,726976,USPS,sea,received,2025-03-18,,
4000215,18050,TN,FSXM,69525,1374671,UPS,sea,received,2025-02-26,,
4000216,15711,MN,ANU,12507,326288,UPS,sea,intransit,2025-03-25,2025-03-26,
4000217,17365,ID,DOM,51242,1838678,FEDEX,air,received,2025-03-29,,
4000218,32683,DE,BIM,57171,1293442,FEDEX,air,delivered,2025-03-01,2025-03-20,2025-03-28
4000219,22481,WY,DOM,19494,607832,AMAZON,sea,intransit,2025-01-17,2025-02-19,
4000220,28731,AZ,DOM,11157,566735,USPS,air,received,2025-01-05,,
4000221,18132,ID,SXM,62180,727900,FEDEX,air,delivered,2025-01-11,2025-03-07,2025-04-02
4000222,18364,WI,ANU,9453,615563,FEDEX,air,delivered,2025-01-26,2025-02-22,2025-03-11
4000223,15452,NC,DOM,90085,1366846,DHL,sea,received,2025-01-31,,
4000224,27830,VT,SVG,12431,1621633,USPS,air,received,2025-02-27,,
4000225,29979,KY,ANU,15682,1519419,FEDEX,air,delivered,2025-01-03,2025-03-06,2025-03-27
4000226,19944,SD,FSXM,57303,607753,USPS,sea,delivered,2025-03-08,2025-03-11,2025-03-14
4000227,14724,AR,SXM,29064,812728,AMAZON,air,delivered,2025-02-04,2025-03-03,2025-03-21
4000228,26411,LA,FSXM,74774,65578,DHL,sea,intransit,2025-01-11,2025-01-21,
4000229,19588,OR,GRD,32452,1632127,USPS,sea,received,2025-02-03,,
4000230,32643,ME,SXM,92767,1121140,USPS,sea,delivered,2025-01-06,2025-01-09,2025-03-23
4000231,18885,MT,BIM,80413,173450,AMAZON,sea,intransit,2025-03-31,,
4000232,11460,PA,SVG,71791,1003910,USPS,sea,received,2025-03-11,,
4000233,12081,NV,ANU,96415,475523,UPS,sea,delivered,2025-02-07,2025-03-17,2025-03-27
4000234,32134,TX,FSXM,30749,1550221,AMAZON,air,intransit,2025-02-06,2025-02-26,
4000235,31338,MS,FSXM,50096,1211107,DHL,sea,delivered,2025-01-02,2025-01-05,2025-01-11
4000236,33014,DE,FSXM,30854,986503,DHL,air,received,2025-02-28,,
4000237,27689,TX,GRD,82699,1662692,AMAZON,sea,delivered,2025-02-04,2025-03-27,2025-04-03
4000238,17128,AR,BIM,23310,1601780,USPS,air,received,2025-01-18,,
4000239,30581,AR,SXM,39470,1387033,UPS,sea,intransit,2025-01-04,2025-01-22,
4000240,12371,NJ,DOM,21599,1651592,USPS,air,delivered,2025-02-03,2025-02-23,2025-03-03
4000241,16349,IL,GRD,96172,1585765,UPS,sea,intransit,2025-02-08,2025-03-21,
4000242,30189,OH,FSXM,87980,50097,USPS,air,delivered,2025-03-06,2025-03-28,2025-04-03
4000243,10103,VT,SVG,32629,259046,USPS,air,received,2025-01-27,,
4000244,27038,AR,FSXM,49132,722605,USPS,air,received,2025-02-26,,
4000245,12494,ND,SLU,97986,1516240,FEDEX,air,received,2025-03-28,,
4000246,32330,NE,FSXM,55096,1222015,USPS,sea,delivered,2025-02-01,2025-02-17,2025-02-20
4000247,27919,PA,ANU,77076,1183880,DHL,air,intransit,2025-01-10,2025-01-17,
4000248,22991,FL,DOM,64259,1115605,DHL,air,delivered,2025-01-29,2025-03-03,2025-03-31
4000249,20642,NJ,FSXM,71017,762306,USPS,sea,received,2025-03-13,,
4000250,29953,CT,SKN,97468,1755358,USPS,air,intransit,2025-03-22,2025-03-27,
4000251,17909,UT,DOM,50146,142165,FEDEX,air,received,2025-01-09,,
4000252,21873,WA,SKN,70330,1528325,UPS,air,intransit,2025-03-20,2025-03-25,
4000253,14405,NV,DOM,30385,189226,AMAZON,air,intransit,2025-02-26,2025-03-13,
4000254,29512,MT,SVG,10691,710321,USPS,air,intransit,2025-03-27,,
4000255,30809,ME,SVG,18019,919831,AMAZON,air,delivered,2025-03-26,2025-03-28,2025-03-30
4000256,11729,WA,SVG,62434,1089865,UPS,sea,delivered,2025-02-23,2025-03-02,2025-03-26
4000257,33782,NV,SKN,59783,986244,UPS,air,delivered,2025-01-09,2025-02-08,2025-04-02
4000258,29153,MO,ANU,15437,1942177,FEDEX,air,delivered,2025-03-04,2025-03-27,2025-03-29
4000259,29153,WA,ANU,6047,1432373,DHL,air,delivered,2025-03-01,2025-03-11,2025-03-17
4000260,15231,CA,BIM,43510,1223042,AMAZON,air,intransit,2025-03-16,2025-03-21,
4000261,23393,MO,SVG,68557,1578614,UPS,air,intransit,2025-02-14,2025-03-09,
4000262,19605,WI,SVG,44971,1008181,FEDEX,sea,delivered,2025-02-04,2025-03-15,2025-03-16
4000263,25861,ME,BIM,85466,1097256,USPS,sea,intransit,2025-01-18,2025-01-24,
4000264,17507,TN,ANU,45281,364847,USPS,sea,intransit,2025-02-07,2025-03-12,
4000265,28643,ME,DOM,53608,1201371,AMAZON,sea,intransit,2025-01-12,2025-01-25,
4000266,11281,MA,SXM,57808,1231209,FEDEX,air,received,2025-03-01,,
4000267,33622,OH,SVG,12365,1516955,DHL,air,intransit,2025-03-03,2025-03-12,
4000268,19714,SD,SLU,46259,234863,FEDEX,sea,intransit,2025-03-29,,
4000269,15314,DE,FSXM,31356,1528863,AMAZON,air,intransit,2025-03-11,2025-03-16,
4000270,19184,NV,SKN,90102,760117,AMAZON,sea,delivered,2025-01-22,2025-02-16,2025-03-24
4000271,18639,OK,SLU,30321,1082129,DHL,air,received,2025-03-24,,
4000272,29185,SD,SKN,49199,1305457,FEDEX,sea,received,2025-01-18,,
4000273,26535,WY,SKN,46153,601383,DHL,sea,delivered,2025-01-06,2025-01-20,2025-01-26
4000274,28284,WI,SXM,21367,195496,DHL,sea,delivered,2025-03-20,2025-03-25,2025-04-02
4000275,30585,SD,GUY,99325,1508575,FEDEX,air,delivered,2025-01-24,2025-02-25,2025-03-05
4000276,12925,NH,SXM,22284,1183394,UPS,air,intransit,2025-02-10,2025-03-06,
4000277,30042,SC,ANU,37356,883677,UPS,sea,intransit,2025-01-17,2025-01-30,
4000278,31799,IA,ANU,20214,1949666,UPS,sea,intransit,2025-03-23,2025-03-28,
4000279,22338,FL,FSXM,7599,811843,DHL,sea,delivered,2025-02-20,2025-03-22,2025-04-04
4000280,15237,ID,DOM,53488,867967,UPS,air,delivered,2025-01-27,2025-01-29,2025-04-02
4000281,23299,IL,FSXM,53140,1726417,AMAZON,air,delivered,2025-03-24,2025-03-26,2025-04-03
4000282,32228,WI,GUY,29080,861124,FEDEX,air,intransit,2025-01-11,2025-02-20,
4000283,24762,ME,BIM,9152,570658,UPS,sea,delivered,2025-02-12,2025-03-15,2025-03-31
4000284,30724,WY,ANU,71654,477659,USPS,air,intransit,2025-03-09,2025-03-12,
4000285,15498,CA,GUY,78918,126690,AMAZON,air,received,2025-02-14,,
4000286,26080,SC,GRD,33541,1732771,AMAZON,sea,intransit,2025-01-31,2025-02-16,
4000287,28910,ME,SXM,79956,1100526,AMAZON,air,delivered,2025-02-01,2025-02-06,2025-03-09
4000288,13685,MS,GRD,97973,1024877,USPS,sea,intransit,2025-02-26,2025-03-25,
4000289,11530,KS,SLU,8345,492057,FEDEX,sea,received,2025-01-23,,
4000290,28447,MS,FSXM,99543,1640576,DHL,air,received,2025-03-10,,
4000291,20455,RI,SKN,13263,1748709,UPS,sea,delivered,2025-01-10,2025-03-18,2025-03-25
4000292,19114,SC,SKN,85599,114792,AMAZON,sea,received,2025-02-16,,
4000293,33889,AR,ANU,78686,706881,USPS,air,delivered,2025-01-07,2025-03-28,2025-03-31
4000294,11945,MD,DOM,81731,845388,DHL,sea,received,2025-01-11,,
4000295,27582,SD,SXM,76289,398646,FEDEX,sea,intransit,2025-03-12,2025-03-27,
4000296,29034,MD,SVG,81903,1031930,AMAZON,air,received,2025-02-12,,
4000297,14668,TN,GRD,46114,491991,FEDEX,air,received,2025-01-24,,
4000298,27241,NM,SLU,60942,92136,FEDEX,sea,delivered,2025-02-11,2025-03-18,2025-03-29
4000299,12844,MS,SXM,28634,770095,AMAZON,sea,received,2025-01-02,,
4000300,31412,NY,SKN,73437,1005923,FEDEX,sea,received,2025-01-28,,
4000301,12775,KS,GRD,87864,299569,USPS,air,intransit,2025-01-20,2025-01-26,
4000302,31051,DE,FSXM,67516,1376685,UPS,air,delivered,2025-02-13,2025-02-14,2025-03-08
4000303,10306,SD,GUY,34707,1807668,FEDEX,sea,received,2025-02-19,,
